Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
cuBLAS,16,16,64,4,4,1.358873,6473.080486,33.209182
Outer-Product + No Remainder,16,16,64,4,4,0.564629,15578.523110,79.923308
Inner Product + No Remainder,16,16,64,4,4,0.583472,15075.442817,77.342329
Inner Product + Remainder,16,16,64,4,4,0.804099,10939.068906,56.121274
cuBLAS,16,16,8,4,8,0.726907,12100.719440,85.631222
Outer-Product + No Remainder,16,16,8,4,8,0.899195,9782.187562,69.224039
Inner Product + No Remainder,16,16,8,4,8,0.958324,9178.619146,64.952863
Inner Product + Remainder,16,16,8,4,8,1.106508,7949.418787,56.254378
cuBLAS,16,16,16,4,8,0.717026,12267.470435,86.811242
Outer-Product + No Remainder,16,16,16,4,8,0.854506,10293.770688,72.844278
Inner Product + No Remainder,16,16,16,4,8,0.886618,9920.949045,70.205990
Inner Product + Remainder,16,16,16,4,8,0.929792,9460.278604,66.946038
